composition_bin,demixing_composition
85-95,0.001067
65-85,0.005108
50,0.012968
15-35,0.015408
5-15,0.002777
85-95,0.002779
65-85,0.028375
50,0.032305
15-35,0.020122
5-15,0.00344
85-95,0.001793
65-85,0.015179
50,0.037792
15-35,0.035165
5-15,0.002456
85-95,0.000381
65-85,0.002261
50,0.007903
15-35,0.009312
5-15,0.002944
85-95,0.000216
65-85,0.011735
50,0.039421
15-35,0.038993
5-15,0.001854
85-95,0.037765
65-85,0.277382
50,0.923473
15-35,0.14194
5-15,0.004489
85-95,0.059697
65-85,0.331247
50,0.912023
15-35,0.343638
5-15,0.013511
85-95,0.000683
65-85,0.003515
50,0.012217
15-35,0.010875
5-15,0.00227
85-95,0.026598
65-85,0.211161
50,0.732249
15-35,0.337155
5-15,0.021225
85-95,0.006166
65-85,0.036756
50,0.089014
15-35,0.073166
5-15,0.025391
85-95,0.000544
65-85,0.002148
50,0.007539
15-35,0.004799
5-15,0.00133
85-95,0.000168
65-85,0.004028
50,0.0127
15-35,0.012696
5-15,0.001249
85-95,0.000467
65-85,0.009205
50,0.046167
15-35,0.070943
5-15,0.020761
85-95,0.002516
65-85,0.016432
50,0.048642
15-35,0.08226
5-15,0.026948
85-95,0.058293
65-85,0.258667
85-95,0.028058
65-85,0.483643
50,0.905874
15-35,0.393793
5-15,0.004391
85-95,0.033911
65-85,0.250431
85-95,0.039055
65-85,0.219533
65-85,0.004448
65-85,0.012951
50,0.011081
15-35,0.009215
15-35,0.002415
85-95,0.000323
65-85,0.00452
50,0.011279
15-35,0.012796
5-15,0.001822
85-95,0.001616
65-85,0.004861
50,0.056293
15-35,0.01894
5-15,0.004413
85-95,0.001126
65-85,0.006845
50,0.012112
15-35,0.006375
5-15,0.002269
85-95,0.011419
65-85,0.017006
50,0.059098
15-35,0.040312
5-15,0.019453
85-95,0.024376
65-85,0.142389
50,0.276107
15-35,0.144865
5-15,0.037491
85-95,0.000927
65-85,0.008433
50,0.030352
15-35,0.017867
5-15,0.001915
85-95,0.001214
65-85,0.003282
50,0.024709
15-35,0.005186
5-15,0.001413
85-95,0.003396
65-85,0.034539
50,0.142156
15-35,0.048834
5-15,0.010501
85-95,0.00554
65-85,0.068412
50,0.39167
15-35,0.210015
85-95,0.001309
65-85,0.014638
50,0.047063
15-35,0.034937
5-15,0.019198
85-95,0.000885
65-85,0.005395
50,0.012206
15-35,0.013288
5-15,0.003708
85-95,0.001567
65-85,0.016175
50,0.089053
85-95,0.001277
65-85,0.030739
50,0.066045
15-35,0.035539
5-15,0.003132
85-95,0.001819
65-85,0.019154
50,0.037442
15-35,0.007018
5-15,0.005991
65-85,0.02521
65-85,0.07884
50,0.254564
85-95,0.002136
65-85,0.025437
85-95,0.003825
65-85,0.041063
50,0.068502
15-35,0.05941
5-15,0.006829
85-95,0.034869
85-95,0.035044
85-95,0.005404
65-85,0.018741
50,0.032147
15-35,0.034482
5-15,0.007531
85-95,0.000746
65-85,0.003726
50,0.01201
15-35,0.009287
85-95,0.000909
65-85,0.01354
50,0.041148
15-35,0.013425
5-15,0.002863
85-95,0.005641
65-85,0.040647
50,0.071551
15-35,0.018623
5-15,0.00487
85-95,0.001563
65-85,0.003117
50,0.014482
15-35,0.017298
15-35,0.003165
85-95,0.001338
65-85,0.107541
50,0.096013
15-35,0.080029
5-15,0.000758
65-85,0.036551
65-85,0.273662
50,0.44455
15-35,0.313945
15-35,0.101912
85-95,0.001353
65-85,0.008747
50,0.063553
15-35,0.030405
5-15,0.008631
85-95,0.000306
65-85,0.003878
50,0.01141
15-35,0.007916
5-15,0.000947
85-95,0.002583
65-85,0.00843
50,0.043332
85-95,0.007161
65-85,0.037143
50,0.083081
15-35,0.055478
65-85,0.03172
85-95,0.019077
65-85,0.358572
50,0.362738
15-35,0.163784
5-15,0.004991
85-95,0.082138
85-95,0.059369
85-95,0.000174
65-85,0.002787
50,0.023978
15-35,0.007095
5-15,0.000946
85-95,0.002014
65-85,0.00866
50,0.015032
15-35,0.015476
5-15,0.008038
85-95,0.054831
65-85,0.306828
50,0.97084
15-35,0.638067
5-15,0.132561
85-95,0.0004
65-85,0.009383
50,0.015253
15-35,0.015967
5-15,0.007888
85-95,8.2e-05
65-85,0.003726
50,0.045036
15-35,0.012696
5-15,0.001273
85-95,0.000877
65-85,0.012752
50,0.086587
15-35,0.070182
85-95,0.040592
85-95,0.039563
65-85,0.252458
85-95,0.019182
65-85,0.183008
85-95,0.000356
65-85,0.001386
15-35,0.00494
5-15,0.001596
85-95,0.001591
65-85,0.008523
50,0.040289
15-35,0.029017
5-15,0.005172
85-95,0.038578
65-85,0.321694
50,0.602089
15-35,0.2602
5-15,0.002948
85-95,0.003889
65-85,0.021346
50,0.013858
15-35,0.018258
5-15,0.001605
85-95,0.057259
65-85,0.18105
50,0.207179
15-35,0.098348
15-35,0.011781
85-95,0.053121
65-85,0.178969
50,0.390907
15-35,0.12075
5-15,0.007906
85-95,0.000674
65-85,0.002268
50,0.005937
15-35,0.004636
