interaction_type,demixing
P-P,0.001067
P-P,0.005108
P-P,0.012968
P-P,0.015408
P-P,0.002777
H-P,0.002779
H-P,0.028375
H-P,0.032305
H-P,0.020122
H-P,0.00344
H-P,0.001793
H-P,0.015179
H-P,0.037792
H-P,0.035165
H-P,0.002456
H-P,0.000381
H-P,0.002261
H-P,0.007903
H-P,0.009312
H-P,0.002944
H-P,0.011735
H-P,0.039421
H-P,0.038993
C-P,0.037765
C-P,0.277382
C-P,0.923473
C-P,0.14194
C-P,0.004489
C-P,0.059697
C-P,0.331247
C-P,0.912023
C-P,0.343638
C-P,0.013511
C-P,0.000683
C-P,0.003515
C-P,0.012217
C-P,0.010875
C-P,0.00227
C-P,0.026598
C-P,0.211161
C-P,0.732249
C-P,0.337155
C-P,0.021225
H-P,0.006166
H-P,0.036756
H-P,0.089014
H-P,0.073166
H-P,0.025391
H-P,0.000544
H-P,0.002148
H-P,0.007539
H-P,0.004799
H-P,0.00133
H-P,0.000168
H-P,0.004028
H-P,0.0127
H-P,0.012696
H-P,0.001249
H-P,0.000467
H-P,0.009205
H-P,0.046167
H-P,0.070943
H-P,0.020761
C-P,0.002516
C-P,0.016432
C-P,0.048642
C-P,0.08226
C-P,0.026948
C-P,0.058293
C-P,0.258667
C-P,0.028058
C-P,0.483643
C-P,0.905874
C-P,0.393793
C-P,0.004391
P-P,0.033911
P-P,0.250431
H-P,0.039055
H-P,0.219533
H-P,0.004448
H-P,0.012951
H-P,0.011081
H-P,0.009215
H-P,0.002415
H-P,0.000323
H-P,0.00452
H-P,0.011279
H-P,0.012796
H-P,0.001822
H-P,0.001616
H-P,0.004861
H-P,0.056293
H-P,0.01894
H-P,0.004413
C-P,0.001126
C-P,0.006845
C-P,0.012112
C-P,0.006375
C-P,0.002269
C-P,0.011419
C-P,0.017006
C-P,0.059098
C-P,0.040312
C-P,0.019453
C-P,0.024376
C-P,0.142389
C-P,0.276107
C-P,0.144865
C-P,0.037491
C-P,0.008433
C-P,0.030352
C-P,0.017867
C-P,0.001214
C-P,0.003282
C-P,0.024709
C-P,0.005186
C-P,0.001413
C-P,0.003396
C-P,0.034539
C-P,0.142156
C-P,0.048834
C-P,0.010501
H-P,0.00554
H-P,0.068412
H-P,0.39167
H-P,0.210015
H-P,0.001309
H-P,0.014638
H-P,0.047063
H-P,0.034937
H-P,0.019198
H-P,0.000885
H-P,0.005395
H-P,0.012206
H-P,0.013288
H-P,0.003708
H-P,0.001567
H-P,0.016175
H-P,0.089053
C-P,0.001277
C-P,0.030739
C-P,0.066045
C-P,0.035539
C-P,0.003132
C-P,0.001819
C-P,0.019154
C-P,0.037442
C-P,0.007018
C-P,0.005991
C-P,0.02521
C-P,0.07884
C-P,0.254564
C-P,0.002136
C-P,0.025437
C-P,0.003825
C-P,0.041063
C-P,0.068502
C-P,0.05941
C-P,0.006829
P-P,0.034869
H-P,0.035044
H-P,0.005404
H-P,0.018741
H-P,0.032147
H-P,0.034482
H-P,0.007531
H-P,0.000746
H-P,0.003726
H-P,0.01201
H-P,0.009287
H-P,0.000909
H-P,0.01354
H-P,0.041148
H-P,0.013425
H-P,0.002863
C-P,0.005641
C-P,0.040647
C-P,0.071551
C-P,0.018623
C-P,0.00487
C-P,0.001563
C-P,0.003117
C-P,0.014482
C-P,0.017298
C-P,0.003165
C-P,0.107541
C-P,0.096013
C-P,0.080029
H-P,0.036551
H-P,0.273662
H-P,0.44455
H-P,0.313945
H-P,0.101912
H-P,0.001353
H-P,0.008747
H-P,0.063553
H-P,0.030405
H-P,0.008631
H-P,0.000306
H-P,0.003878
H-P,0.01141
H-P,0.007916
H-P,0.000947
H-P,0.002583
H-P,0.00843
H-P,0.043332
C-P,0.007161
C-P,0.037143
C-P,0.083081
C-P,0.055478
C-P,0.03172
C-P,0.019077
C-P,0.358572
C-P,0.362738
C-P,0.163784
C-P,0.004991
P-P,0.082138
H-P,0.059369
H-H,0.002787
H-H,0.023978
H-H,0.007095
C-H,0.002014
C-H,0.00866
C-H,0.015032
C-H,0.015476
C-H,0.008038
C-H,0.054831
C-H,0.306828
C-H,0.97084
C-H,0.638067
C-H,0.132561
H-H,0.0004
H-H,0.009383
H-H,0.015253
H-H,0.015967
H-H,0.007888
H-H,0.003726
H-H,0.045036
H-H,0.012696
H-H,0.000877
H-H,0.012752
H-H,0.086587
H-H,0.070182
C-H,0.040592
H-P,0.039563
H-P,0.252458
H-H,0.019182
H-H,0.183008
H-H,0.000356
H-H,0.001386
H-H,0.00494
H-H,0.001596
H-H,0.001591
H-H,0.008523
H-H,0.040289
H-H,0.029017
H-H,0.005172
C-H,0.038578
C-H,0.321694
C-H,0.602089
C-H,0.2602
C-H,0.002948
C-H,0.003889
C-H,0.021346
C-H,0.013858
C-H,0.018258
C-H,0.001605
C-H,0.057259
C-H,0.18105
C-H,0.207179
C-H,0.098348
C-H,0.011781
C-H,0.053121
C-H,0.178969
C-H,0.390907
C-H,0.12075
C-H,0.007906
C-H,0.000674
C-H,0.002268
C-H,0.005937
C-H,0.004636
C-H,0.001579
C-H,0.036516
C-H,0.125773
C-H,0.422074
C-H,0.004573
H-H,0.003383
H-H,0.010436
H-H,0.059939
H-H,0.032737
H-H,0.013841
H-H,0.00022
H-H,0.002927
H-H,0.003163
H-H,0.002619
H-H,0.00067
H-H,0.000878
H-H,0.007947
H-H,0.020792
H-H,0.009295
H-H,0.001963
H-H,0.000492
H-H,0.004117
H-H,0.037305
H-H,0.050481
C-H,0.047735
C-H,0.131375
C-H,0.030195
C-H,0.002994
C-H,0.012146
C-H,0.006369
C-H,0.000875
C-H,0.002397
C-H,0.010258
C-H,0.03358
C-H,0.03674
C-H,0.011177
H-P,0.011099
H-P,0.110708
H-P,0.624105
C-H,0.043395
C-H,0.212426
C-H,0.019032
C-H,0.284051
C-H,0.651835
C-H,0.168974
C-H,0.001727
H-P,0.045134
H-P,0.236629
H-H,0.036583
H-H,0.254031
H-H,0.001181
